congress	session	start	end	house_recesses
1	1	1789-03-04	1789-09-29	  
1	2	1790-01-04	1790-08-12	  
1	3	1790-12-06	1791-03-03	  
2	A	1791-03-04	1791-03-04
2	1	1791-10-24	1792-05-08	  
2	2	1792-11-05	1793-03-02	  
3	A	1793-03-04	1793-03-04
3	1	1793-12-02	1794-06-09	   
3	2	1794-11-03	1795-03-03	   
4	A	1795-06-08	1795-06-26
4	1	1795-12-07	1796-06-01	  
4	2	1796-12-05	1797-03-03	   
5	A	1797-03-04	1797-03-04
5	1	1797-05-15	1797-07-10	  
5	2	1797-11-13	1798-07-16	  
5	B	1798-07-17	1798-07-19
5	3	1798-12-03	1799-03-03	  
6	1	1799-12-02	1800-05-14	  
6	2	1800-11-17	1801-03-03	Dec. 23-30, 1800
7	A	1801-03-04	1801-03-05
7	1	1801-12-07	1802-05-03	  
7	2	1802-12-06	1803-03-03	   
8	1	1803-10-17	1804-03-27	  
8	2	1804-11-05	1805-03-03	  
9	A	1805-03-04	1805-03-04
9	1	1805-12-02	1806-04-21	  
9	2	1806-12-01	1807-03-03	  
10	1	1807-10-26	1808-04-25	  
10	2	1808-11-07	1809-03-03	  
11	A	1809-03-04	1809-03-07
11	1	1809-05-22	1809-06-28	  
11	2	1809-11-27	1810-05-01	  
11	3	1810-12-03	1811-03-03	  
12	1	1811-11-04	1812-07-06	  
12	2	1812-11-02	1813-03-03	  
13	1	1813-05-24	1813-08-02	  
13	2	1813-12-06	1814-04-18	  
13	3	1814-09-19	1815-03-03	  
14	1	1815-12-04	1816-04-30	  
14	2	1816-12-02	1817-03-03	  
15	A	1817-03-04	1817-03-06
15	1	1817-12-01	1818-04-20	Dec. 24-29, 1817
15	2	1818-11-16	1819-03-03	  
16	1	1819-12-06	1820-05-15	  
16	2	1820-11-03	1821-03-03	  
17	A	1821-03-06	1821-03-06
17	1	1821-12-03	1822-05-08	  
17	2	1822-12-02	1823-03-03	  
18	1	1823-12-01	1824-05-27	  
18	2	1824-12-06	1825-03-03	  
19	1	1825-12-05	1826-05-22	  
